service_name,API_name,performance_target(ms)
user-service,UploadUserWithUserId,0.1476
social-graph-service,GetFollowers,0
compose-post-service,UploadUserMentions,8
compose-post-service,UploadUrls,8.4
compose-post-service,UploadUniqueId,6.2
compose-post-service,UploadCreator,9.93
compose-post-service,UploadText,6.9
compose-post-service,UploadMedia,10.4704
post-storage-service,StorePost,0
user-timeline-service,WriteUserTimeline,0
home-timeline-service,ReadHomeTimeline,17.529
media-service,UploadMedia,8
text-service,UploadText,0
unique-id-service,UploadUniqueId,15.9
url-shorten-service,UploadUrls,0.37
user-mention-service,UploadUserMentions,6.2138
write-home-timeline-service,api,0
